Function;Use;Sharing;Reporting;Student_Type;Position_Type;Object_Type;Pre_K;Operating_Status;Object_Description;Text_2;SubFund_Description;Job_Title_Description;Text_3;Text_4;Sub_Object_Description;Location_Description;FTE;Function_Description;Facility_or_Department;Position_Extra;Total;Program_Description;Fund_Description;Text_1
Curriculum Development;ISPD;School Reported;School;Unspecified;Instructional Coach;Other Compensation/Stipend;PreK;PreK-12 Operating;Salaries Or Wages For Support Personnel;nan;Principals' Budgets;SKILLS SPECIALIST;nan;nan;Salaries Or Wages For Support Personnel;School ;nan;Instruction;nan;TEACHER MASTER;409.39104743800004;PRE-K;General Operating Fund;CURRICULUM WRITING
Library & Media;Instruction;School Reported;School;Unspecified;Librarian;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;GENERAL FUND;Teacher, Librarian Elem ;Regular;nan;nan;nan;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;5039.77;SCHOOL LIBRARY SERVICES;nan;INSTRUCTIONAL STAFF
Teacher Compensation;Instruction;School Reported;School;Unspecified;Teacher;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Teacher, Elementary ;nan;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;-1337.55;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Instructional Materials & Supplies;Instruction;School Reported;School;Gifted;NO_LABEL;Supplies/Materials;Non PreK;PreK-12 Operating;General Supplies;nan;nan;nan;nan;nan;General Supplies;School ;nan;Instruction;Gifted And Talented;nan;38.58000000000001;Gifted And Talented;General Operating Fund;nan
School Administration;Leadership;School Reported;School;Unspecified;Sec/Clerk/Other Admin;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Extra Duty Pay/Overtime For Support Personnel;nan;Learning Center;CLERICAL, SCHOOL ADMIN.;nan;Basic Educational Services - District Objective ;Extra Duty Pay/Overtime For Support Personnel;School ;nan;Instruction;Instruction And Curriculum;ASSISTANT PRINCIPAL SECRETARY;247.68;Basic Educational Services;Title Iv Part B  Century Community Learning Ce;MISCELLANEOUS 
Insurance;Business Services;Leadership & Management;Non-School;Unspecified;NO_LABEL;Equipment & Equipment Lease;NO_LABEL;PreK-12 Operating;NON-CAPITALIZED  EQUIP        ;nan;nan;nan;nan;nan;nan;RISK MANAGEMENT               ;nan;STAFF SERVICES                ;nan;nan;198.83;nan;GENERAL FUND                  ;RISK MANAGEMENT               
Aides Compensation;Instruction;School Reported;School;Unspecified;TA;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;nan; MILL LEVY;Extended Day Kinder Asst ;Regular;nan;nan;nan;0.325000784757;ALL DAY KINDERGARTEN;nan;PARAPROFESSIONAL;7117.41332852;GENERAL ELEMENTARY EDUCATION;nan;REGULAR INSTRUCTION
Communications;Leadership;Leadership & Management;Non-School;Unspecified;NO_LABEL;Contracted Services;Non PreK;PreK-12 Operating;Miscellaneous Contracted Services;nan;nan;nan;nan;nan;Miscellaneous Contracted Services;Undistributed;nan;Community Services;Public Relations Department;nan;12042.49;Undistributed;General Operating Fund;nan
School Administration;Leadership;School Reported;School;Special Education;NO_LABEL;Supplies/Materials;Non PreK;PreK-12 Operating;General Supplies;SUPPLIES & MATERIALS;nan;nan;nan;Supp and Materials that do not require specific approval;General Supplies;School ;nan;Instructional Leadership;Instruction And Curriculum;nan;78.61;Services To Students With Disabilities (Special Education);Idea Part B Formula;nan
Facilities & Maintenance;O&M;School Reported;School;Unspecified;Non-Position;Equipment & Equipment Lease;NO_LABEL;PreK-12 Operating;NON-CAPITAL EQUIPMENT;nan;DISTRICT SPECIAL REVENUE FUNDS;(blank);Regular;nan;nan;nan;nan; CENTURY CLASSROON COLLABO;nan;UNDESIGNATED;6261.65;ENGLISH LANGUAGE ARTS;nan;REGULAR INSTRUCTION
Governance;Leadership;Leadership & Management;Non-School;Unspecified;NO_LABEL;Other Non-Compensation;NO_LABEL;PreK-12 Operating;DUES AND FEES                 ;nan;nan;nan;nan;nan;nan;BOARD                         ;nan;BOARD                         ;BOARD MEMBER, DISTRICT       ;nan;25.6;nan;GENERAL FUND                  ;BOARD                         
Enrichment;NO_LABEL;School Reported;School;NO_LABEL;Club Advisor/Coach;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;Coaching Supplement;nan;nan;FOOTBALL COACH ASSIS;nan;nan;nan;nan;nan;nan;nan;nan;3842.71;nan;nan;nan
Social & Emotional;Pupil Services & Enrichment;School on Central Budgets;Non-School;Unspecified;Social Worker;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;PSYCHOLOGICAL SERVICES;GENERAL FUND;Social Worker ;nan;nan;nan;SOCIAL WORK SERVICES;nan;NON-PROJECT;nan;PROFESSIONAL-INSTRUCTIONAL;92.374;SOCIAL WORK SERVICES;nan;STUDENTS
Food Services;O&M;Shared Services;School;Unspecified;Other;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Extra Duty Pay/Overtime For Support Personnel;nan;Child Nutrition;CAFETERIA EMPLOYEE, FOOD SERV.;nan;Undistributed;Extra Duty Pay/Overtime For Support Personnel;School ;nan;Food Services (Child Nutrition Fund Only);Child Nutrition;REG FOOD SERVICE WORKER ;391.55;Undistributed;National School Breakfast And Lunch Program;ADDL REGULAR PAY-NOT SMOOTHED
School Administration;Leadership;School Reported;School;Unspecified;Vice Principal;Base Salary/Compensation;Non PreK;PreK-12 Operating;Personal Services - Assistant Principals;nan;nan;TCHER 4TH GRADE;nan;Office of Principal;nan;nan;0.7732988256829999;nan;nan;ASST PRINCIPAL;53340.57;Principal's Office;General Purpose School;nan
Recruitment;ISPD;Shared Services;Non-School;Unspecified;Substitute;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;HUMAN RESOURCES RECRUITMENT;DISTRICT SPECIAL REVENUE FUNDS;Teacher, Short Term Sub ;nan;nan;nan;HUMAN RESOURCES;nan;NEW TEACHER RECRUITMENT;nan;PROFESSIONAL-INSTRUCTIONAL;38.71672;SUPPORT SERVICES-INSTRUCTIONAL;nan;INSTRUCTIONAL STAFF
Research & Accountability;Leadership;Leadership & Management;Non-School;Unspecified;Non-Position;Supplies/Materials;NO_LABEL;PreK-12 Operating;COPYING;ASSESSMENT AND RESEARCH;GENERAL FUND;(blank);nan;nan;nan;nan;nan;CREATIVE ASSESSMENT SYSTEMS;nan;UNDESIGNATED;3414.38;ACADEMIC STUDENT ASSESSMENT;nan;INSTRUCTIONAL STAFF
Research & Accountability;Leadership;Shared Services;Non-School;Unspecified;Sec/Clerk/Other Admin;Benefits;NO_LABEL;PreK-12 Operating;RETIREMENT CONTRIB.;nan;GENERAL FUND;Office Support II ;nan;nan;nan;ADMISSIONS AND STUDENT RECORDS;nan;EMPLOYEE RETIREMENT;nan;UNDESIGNATED;412.81;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Parent & Community Relations;Pupil Services & Enrichment;School Reported;School;Poverty;Non-Position;Supplies/Materials;NO_LABEL;PreK-12 Operating;EDUCATIONAL;PARENT RESOURCE CENTERS;TITLE  CFDA 84.00A;nan;nan;nan;nan;nan;nan;nan;nan;SUPPLIES AND MATERIALS;2615.73;STUDENT SUPPORT SERVICES;INTRADISTRICT FUNDS;nan
School Administration;Leadership;School Reported;School;Unspecified;Sec/Clerk/Other Admin;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;OTHER SUPPORT PERSONNEL       ;nan;nan;CLERICAL ASST I               ;nan;nan;nan;School ;1.0;SCH ADMIN (OFFICE OF PRINC)   ;nan;nan;24822.751086700002;nan;GENERAL FUND                  ;nan
Governance;Leadership;Leadership & Management;Non-School;Unspecified;Non-Position;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Personal Services - Teachers;nan;nan;nan;nan;Regular Instruction;nan;District Wide Resources;0.0;nan;OFFICE OF THE SUPERINTENDENT;Career Ladder III/Ext Learning;3499.9399;Instruction - Regular;General Purpose School;nan
Library & Media;Instruction;Leadership & Management;Non-School;NO_LABEL;NO_LABEL;Contracted Services;NO_LABEL;PreK-12 Operating;PURCHASED PROFESSIONAL AND TECH SVCS-OTHER FEES;nan;MEDIA CENTERS;nan;nan;nan;nan;ADMIN. SERVICES;nan;EDUCATIONAL MEDIA SERVICE;nan;nan;1895.2;MEDIA CENTERS;General Fund;nan
Social & Emotional;Pupil Services & Enrichment;School Reported;School;Poverty;Psychologist;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;nan;FEDERAL GDPG FUND - FY ;Psychologist ;Regular;nan;nan;nan;0.200005496959;TITLE I;nan;PROFESSIONAL-INSTRUCTIONAL;19967.279231099998;PSYCHOLOGICAL SERVICES;nan;STUDENTS
Data Processing & Information Services;Business Services;School Reported;School;Poverty;Other;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;FEDERAL GDPG FUND - FY ;Sr. Computer Lab Tech ;Regular;nan;nan;nan;nan;TITLE I;nan;PARAPROFESSIONAL;108.6;GENERAL ELEMENTARY EDUCATION;nan;REGULAR INSTRUCTION
Aides Compensation;Instruction;School Reported;School;Unspecified;TA;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;General Assignment ;nan;nan;nan;nan;nan;NON-PROJECT;nan;UNDESIGNATED;-512.4100000000002;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Student Transportation;O&M;Shared Services;Non-School;Special Education;Other;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;OTHER SUPPORT PERSONNEL       ;nan;nan;BUS DRIVER                    ;nan;nan;nan;TRANSPORTATION                ;0.1125;PUPIL TRANSPORTATION SERVICES ;nan;nan;2306.65749725;nan;GENERAL FUND                  ;nan
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Operating, Not PreK-12;PURCHASED PROFESSIONAL AND TECH SVCS-OTHER FEES;nan;HIGH SCHOOL GENERAL ED PROGRAM 9-12;nan;nan;nan;nan;nan;nan;INSTRUCTION;nan;nan;879.5;HIGH SCHOOL GENERAL EDUCATION PROGRAM 9-12;General Fund;nan
Finance, Budget, Purchasing & Distribution;Business Services;School on Central Budgets;Non-School;Unspecified;Other;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYER PD MED CONTRIBUTION;nan;GENERAL FUND;Sr Quality Assur Analyst ;nan;nan;nan;CUSTOMER RELATIONS MANAGEMENT;nan;NON-PROJECT;nan;PROFESSIONAL-OTHER;nan;INFORMATION SYSTEMS SERVICES;nan;CENTRAL
Physical Health & Services;Pupil Services & Enrichment;School on Central Budgets;Non-School;Special Education;Speech Therapist;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;SEVERE DISABILITIES;GENERAL FUND;Speech Language Pathologst ;nan;nan;nan;SPECIAL EDUCATION;nan;SPECIAL ED. - SEVERE NEEDS;nan;PROFESSIONAL-INSTRUCTIONAL;1092.3020800000004;SPECIAL EDUCATION-S/L;nan;SPECIAL EDUCATION
Facilities & Maintenance;O&M;Shared Services;Non-School;Unspecified;Coordinator/Manager;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Project Coord, ;nan;nan;nan;CHIEF OPERATING OFFICER;nan;NON-PROJECT;nan;UNDESIGNATED;-221.17;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
School Supervision;NO_LABEL;Shared Services;Non-School;NO_LABEL;NO_LABEL;Other Non-Compensation;NO_LABEL;PreK-12 Operating;DUES AND FEES;nan;MISCELLANEOUS;nan;nan;nan;nan;ADMIN. SERVICES;nan;GENERAL ADMINISTRATION;nan;nan;nan;Misc;General Fund;nan
Physical Health & Services;Pupil Services & Enrichment;School on Central Budgets;Non-School;Special Education;Physical Therapist;Benefits;NO_LABEL;PreK-12 Operating;RETIREMENT CONTRIB.;nan;GENERAL FUND;Physical Therapist ;nan;nan;nan;SPECIAL EDUCATION;nan;EMPLOYEE RETIREMENT;nan;UNDESIGNATED;672.47;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
School Administration;NO_LABEL;School Reported;School;NO_LABEL;Sec/Clerk/Other Admin;NO_LABEL;NO_LABEL;PreK-12 Operating;nan;nan;nan;School Data Clerk;nan;nan;nan;nan;1.0;nan;nan;DATA CLERK ;43614.06000000001;Misc;General Fund;nan
Other Non-Compensation;Instruction;School Reported;School;NO_LABEL;NO_LABEL;Other Non-Compensation;NO_LABEL;PreK-12 Operating;DUES AND FEES;nan;STAFF DEVELOPMENT;nan;nan;nan;nan;nan;nan;INSTRUCTION;nan;nan;-98.9;STAFF DEVELOPMENT;General Fund;nan
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;GENERAL SUPPLIES *;nan;Support Services--Pupils;nan;nan;nan;General Supplies *;nan;nan;Direction Of Support Services - Pupils *;nan;nan;283.28;nan;Special Trust;PRE-K COLLABORATIVE
Curriculum Development;ISPD;Leadership & Management;Non-School;Unspecified;Non-Position;Travel & Conferences;Non PreK;PreK-12 Operating;Personal Services - Other Compensation;nan;nan;nan;nan;Board of Education;nan;Central Office;0.0;nan;nan;Travel Allotment;226.76052189799998;District Administration;General Purpose School;nan
Extended Time & Tutoring;Instruction;School Reported;School;Unspecified;TA;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;nan;DISTRICT SPECIAL REVENUE FUNDS;Reading & Writing Asst ;Regular;nan;nan;nan;nan; SUCCESS;nan;PROFESSIONAL-INSTRUCTIONAL;1497.1707199999994;SUCCESS - ELEMENTARY;nan;REGULAR INSTRUCTION
Security & Safety;O&M;Shared Services;Non-School;Unspecified;School Monitor/Security;Benefits;NO_LABEL;PreK-12 Operating;RETIREMENT CONTRIB.;nan;GENERAL FUND;Security Comm. Officer ;nan;nan;nan;SAFETY AND SECURITY;nan;EMPLOYEE RETIREMENT;nan;UNDESIGNATED;355.40000000000015;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
Professional Development;ISPD;School Reported;School;Poverty;Instructional Coach;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Title  Part A Improving Basic Programs;SKILLS SPECIALIST, ADITIONAL;nan;nan;Extended Week;School ;nan;Instruction;Instruction And Curriculum;TEACHER BACHELOR;208.665755917;Title I, Part A Schoolwide Activities Related To State Comp;Title  Part A Improving Basic Programs;MISCELLANEOUS 
Parent & Community Relations;Pupil Services & Enrichment;School Reported;School;Special Education;Other;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF REGULAR EMPLOYEES;nan;FEDERAL GDPG FUND;Tutor Interpreter ;Regular;nan;nan;nan;0.0833349279436;TITLE VI-IDEA B-MAIN;nan;OFFICE/ADMINISTRATIVE SUPPORT;3189.05435567;SPECIAL EDUCATION-EI'S;nan;SPECIAL EDUCATION
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Operating, Not PreK-12;EXTRA DUTY PAY-INSTRUCTIONAL  ;nan;nan;TEACHER, FIRST                ;nan;nan;nan;CHARTER;nan;BASIC (FEFP K-12)             ;nan;nan;104.8;nan;CONVERSION CHARTER SCHOOLS    ;nan
School Supervision;NO_LABEL;Shared Services;Non-School;NO_LABEL;NO_LABEL;Travel & Conferences;NO_LABEL;PreK-12 Operating;TRAVEL - EMPLOYEES;nan;TITLE I-A GENERAL ADMINISTRATION;nan;nan;nan;nan;ADMIN. SERVICES;nan;GENERAL ADMINISTRATION;nan;nan;25.0;TITLE IA BASIC PROGRAM-ADMINISTRATION;Title I;nan
Facilities & Maintenance;NO_LABEL;Shared Services;Non-School;NO_LABEL;NO_LABEL;Other Non-Compensation;NO_LABEL;PreK-12 Operating;REPAIR AND MAINTENANCE SERVICES;nan;MISCELLANEOUS;nan;nan;nan;nan;ADMIN. SERVICES;nan;MAINTENANCE AND OPERATING;nan;nan;0.44;Misc;General Fund;nan
Security & Safety;O&M;School on Central Budgets;Non-School;Unspecified;School Monitor/Security;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;nan;RISK-RELATED ACTIVITY FUND;Campus Security Officer ;nan;nan;nan;nan;nan;NON-PROJECT;nan;OFFICE/ADMINISTRATIVE SUPPORT;56.80351999999999;RISK MANAGEMENT SERVICES;nan;CENTRAL
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Purchased Services;nan;Community Services;nan;nan;nan;Purchased Services;nan;nan;Other Community Services *;nan;nan;1761.23;nan;Title I - Disadvantaged Children/Targeted Assistance;TITLE I - PARENT INVOLVEM
Aides Compensation;Instruction;School Reported;School;ELL;TA;Benefits;PreK;PreK-12 Operating;EMPLOYER PD MED CONTRIBUTION;nan;ITEMGD PRESCHOOL PROGRAM;Early Childhood Education ;Regular;nan;nan;nan;nan;ELPA - PRESCHOOL PROG;nan;PARAPROFESSIONAL;161.92999999999995;EARLY CHILDHOOD;nan;REGULAR INSTRUCTION
Aides Compensation;Instruction;School Reported;School;Special Education;TA;Benefits;NO_LABEL;PreK-12 Operating;EMPLOYEE BENEFITS;nan;FEDERAL GDPG FUND - FY ;Secondary Spec Ed Para ;Regular;nan;nan;nan;nan;TITLE VI-IDEA B-MAIN;nan;PARAPROFESSIONAL;88.10000000000002;SPECIAL EDUCATION;nan;SPECIAL EDUCATION
Library & Media;Instruction;School Reported;School;Unspecified;Librarian;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;nan;GENERAL EDUCATION;LOCAL;LIBRAIAN;nan;nan;nan;nan;1.0;nan;nan;nan;79166.42892460001;nan;nan;nan
Facilities & Maintenance;O&M;School Reported;School;Unspecified;Custodian;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries Or Wages For Support Personnel;nan;Operations;CUSTODIAN REGULAR;nan;nan;Salaries Or Wages For Support Personnel;School ;0.9;Facilities Maintenance And Operations;Custodial Department;ANY CUS WHO IS NOT A SUPER ;17180.3625929;Undistributed;General Operating Fund;REGULAR PAY
Professional Development;ISPD;School Reported;School;Poverty;Non-Position;Contracted Services;Non PreK;PreK-12 Operating;Purchased Services;nan;Support Services - Instructional Staff;nan;nan;nan;Purchased Services;nan;nan;Instructional Staff Training Services *;nan;nan;72194.66;nan;Title  School Improvement Stimulus G;SCHOOL IMPROVEMENT,G
Teacher Compensation;Instruction;School Reported;School;Unspecified;Teacher;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;TEACHER, REGULAR;nan;Basic Educational Services - District Objective ;Salaries And Wages For Teachers And Other Professi;School ;1.0;Instruction;All Campus Payroll;TEACHER MASTER;66431.2928767;Basic Educational Services;General Operating Fund;REGULAR PAY
Parent & Community Relations;Pupil Services & Enrichment;School Reported;School;Poverty;Non-Position;Supplies/Materials;NO_LABEL;PreK-12 Operating;OTHER SUPPLIES;nan;FEDERAL GDPG FUND - FY ;(blank);Turnaround;nan;nan;nan;nan;TITLE I - CENTRAL PROGRAMS;nan;UNDESIGNATED;153.6;COMMUNITY SERVICE;nan;COMMUNITY SERVICES OPERATION
Instructional Materials & Supplies;Instruction;School on Central Budgets;Non-School;Special Education;NO_LABEL;Supplies/Materials;NO_LABEL;PreK-12 Operating;TEXTBOOKS                     ;nan;nan;nan;nan;nan;nan;ESE                           ;nan;EXCEPTIONAL                   ;nan;nan;93.31;nan;FED THRU STATE-CASH ADVANCE   ;IDEA  PART B                  
School Administration;Leadership;School Reported;School;Poverty;NO_LABEL;Supplies/Materials;Non PreK;PreK-12 Operating;General Supplies;SUPPLIES & MATERIALS;nan;nan;nan;nan;General Supplies;School ;nan;Curriculum Development And Instructional Staff Dev;Instruction And Curriculum;nan;582.08;Title I, Part A Schoolwide Activities Related To State Comp;Title  Part A Improving Basic Programs;nan
Professional Development;ISPD;School on Central Budgets;Non-School;Unspecified;Instructional Coach;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;TEACHER LEARNING & LEADERSHIP;ARRA - STIMULUS;Facilitator, Sec Math/Sci ;nan;nan;nan;TEACHER LEARNING & LEADERSHIP;nan;ARRA - NBPTS CERT TCHR GRANT;nan;PROFESSIONAL-INSTRUCTIONAL;10126.79688;INSTRUCTIONAL STAFF TRAINING;nan;INSTRUCTIONAL STAFF
Facilities Planning;Business Services;Leadership & Management;Non-School;Unspecified;NO_LABEL;Supplies/Materials;NO_LABEL;PreK-12 Operating;SUPPLIES                      ;nan;nan;nan;nan;nan;nan;GROWTH                        ;nan;PLANNING,RES,DEV,& EVAL       ;nan;nan;4089.55;nan;GENERAL FUND                  ;GROWTH                        
Teacher Compensation;Instruction;School Reported;School;Gifted;Teacher;Other Compensation/Stipend;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;GIFTED AND TALENTED TEACHERS;nan;nan;Salaries And Wages For Teachers And Other Professi;School ;nan;Instruction;All Campus Payroll;TEACHER MASTER;130.816633505;Gifted And Talented;General Operating Fund;MISCELLANEOUS 
Teacher Compensation;Instruction;School Reported;School;ELL;Teacher;Other Compensation/Stipend;PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;TEACHER, PRE-K BILINGUAL;nan;nan;Critical Needs Incentive;School ;nan;Instruction;All Campus Payroll;TEACHER BACHELOR;4168.05999233;PRE-K;General Operating Fund;CRITICAL NEEDS SUPPLEMENT
Recruitment;ISPD;Shared Services;Non-School;Special Education;TA;Other Compensation/Stipend;NO_LABEL;PreK-12 Operating;ADDITIONAL/EXTRA DUTY PAY/STIP;HUMAN RESOURCES RECRUITMENT;DISTRICT SPECIAL REVENUE FUNDS;Elementary Spec Ed Para ;nan;nan;nan;HUMAN RESOURCES;nan;NEW TEACHER RECRUITMENT;nan;PROFESSIONAL-INSTRUCTIONAL;38.29672;SUPPORT SERVICES-INSTRUCTIONAL;nan;INSTRUCTIONAL STAFF
Enrichment;Pupil Services & Enrichment;School Reported;School;Unspecified;Non-Position;Contracted Services;Non PreK;PreK-12 Operating;Management Services;nan;Sport Oriented Activities;nan;nan;nan;Professional And Technical Services *;nan;nan;Mixed Sports *;nan;nan;481.57;nan;General;CITY:  EXTRA ACT/SCHOOLS
Instructional Materials & Supplies;Instruction;School Reported;School;Unspecified;NO_LABEL;Supplies/Materials;NO_LABEL;PreK-12 Operating;SUPPLIES                      ;nan;nan;nan;nan;nan;nan;School ;nan;BASIC (FEFP K-12)             ;nan;nan;6030.7;nan;GENERAL FUND                  ;SCHOOL OPERATING ACCOUNT      
Curriculum Development;ISPD;Leadership & Management;Non-School;Unspecified;(Exec) Director;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;CURRICULUM & INSTRUCTION DEPT.;nan;Undistributed;Salaries And Wages For Teachers And Other Professi;Undistributed;1.0;Instructional Leadership;Instructional Curriculum;PROGRAM DIRECTOR;91476.39975269999;Undistributed;General Operating Fund;REGULAR PAY
Research & Accountability;Leadership;Leadership & Management;Non-School;Unspecified;NO_LABEL;Travel & Conferences;NO_LABEL;PreK-12 Operating;OUT OF COUNTY TRAVEL          ;nan;nan;nan;nan;nan;nan;CURRICULUM AND INSTR          ;nan;PLANNING,RES,DEV,& EVAL       ;RTTT Administrative Expense   ;nan;23.63;COMMUNITY PRACTICE COMMON CORE;ARRA - RACE TO THE TOP        ;RACE TO THE TOP               
Special Population Program Management & Support;NO_LABEL;Shared Services;Non-School;NO_LABEL;NO_LABEL;Travel & Conferences;NO_LABEL;PreK-12 Operating;TRAVEL - EMPLOYEES;nan;MISCELLANEOUS;nan;nan;nan;nan;ADMIN. SERVICES;nan;IMPROVEMENT OF INSTR SERV;nan;nan;324.83;Misc;General Fund;nan
Finance, Budget, Purchasing & Distribution;Business Services;Shared Services;Non-School;Unspecified;Other;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries Or Wages For Support Personnel;nan;Operations;TRANSPORTATION,BUS DRIVERS,REG;nan;nan;Temporary / Part-Time Support Personnel;Undistributed;0.03;Facilities Maintenance And Operations;Warehousing;TEMPORARY EMPLOYEE;990.267043102;Undistributed;General Operating Fund;REGULAR PAY
Substitute Compensation;Instruction;School Reported;School;Unspecified;Substitute;Substitute Compensation;PreK;PreK-12 Operating;Salaries And Wages For Substitute Support Personnel;nan;Operations;TEACHER SUBSTITUTE POOL;nan;nan;Substitutes for Support Personnel;School ;nan;Instruction;All Campus Payroll;CERTIFIED SUBSTITUTE;204.794967672;PRE-K;General Operating Fund;REGULAR PAY
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Non-Operating;Other Awards and Prizes;nan;Special Instruction;nan;nan;nan;Awards And Prizes *;nan;nan;Disadvantaged Youth *;nan;nan;-42.0;nan;Title I - Disadvantaged Children/Targeted Assistance;TITLE  SCHOOLWIDE
NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;NO_LABEL;Operating, Not PreK-12;SALARIES OF PART TIME EMPLOYEE;nan;DISTRICT SPECIAL REVENUE FUNDS;Community School Child Care ;nan;nan;nan;COMMUNITY EDUCATION;0.153545258621;CAMPS;nan;PARAPROFESSIONAL;3102.8771204;COMMUNITY SERVICE;nan;COMMUNITY SERVICES OPERATION
Finance, Budget, Purchasing & Distribution;Business Services;Leadership & Management;Non-School;Unspecified;Non-Position;Travel & Conferences;Non PreK;PreK-12 Operating;Non-Certificated Travel Reimbursement;nan;Fiscal Services;nan;nan;nan;Travel Mileage/Meeting Expense *;nan;nan;Payroll Services;nan;nan;3199.88;nan;General;PAYROLL
Physical Health & Services;Pupil Services & Enrichment;School Reported;School;Unspecified;Nurse;Base Salary/Compensation;NO_LABEL;PreK-12 Operating;SALARIES OF PART TIME EMPLOYEE;nan;GENERAL FUND;Health Technician ;Regular;nan;nan;nan;0.7390873015870001;NON-PROJECT;nan;PARAPROFESSIONAL;11834.6172008;NURSING SERVICES;nan;STUDENTS
Finance, Budget, Purchasing & Distribution;Business Services;Leadership & Management;Non-School;Unspecified;Coordinator/Manager;Benefits;NO_LABEL;PreK-12 Operating;CONTRA BENEFITS;nan;GENERAL FUND;Manager, Disbursing ;nan;nan;nan;DISBURSING;nan;NON-PROJECT;nan;UNDESIGNATED;-1146.19;EMPLOYEE BENEFITS;nan;EMPLOYEE BENEFITS
School Administration;Leadership;School Reported;School;Unspecified;Vice Principal;Base Salary/Compensation;Non PreK;PreK-12 Operating;Salaries And Wages For Teachers And Other Professi;nan;Operations;SCHOOL PRINCIPAL;nan;Undistributed;Salaries And Wages For Teachers And Other Professi;School ;0.09;School Leadership;All Campus Payroll;ASST PRIN HIGH SCHOOL;7150.96878596;Undistributed;General Operating Fund;REGULAR PAY
Insurance;Business Services;School Reported;School;Unspecified;NO_LABEL;Other Non-Compensation;Non PreK;PreK-12 Operating;Insurance And Bonding Costs;nan;nan;nan;nan;Undistributed;Insurance And Bonding Costs;School ;nan;School Leadership;nan;nan;71.72;Undistributed;General Operating Fund;nan
